1	1.821857,13.9764,7.647539,1.897658,8.437145,9.691624,8.878907,4.473058,13.55891,7.949216
2	11.62465,5.775332,5.919049,10.71918,10.10611,8.969507,10.59489,9.910682,6.372825,-3.946758
3	9.221022,2.646238,7.60925,12.08971,16.7934,9.486061,11.93836,9.730975,3.114702,7.925027
4	11.50013,9.815879,5.177382,4.733192,9.484817,8.783316,2.556222,2.462524,7.82291,9.842665
5	7.990529,2.939868,7.705598,0.3531845,13.16512,15.902,4.163893,0.7793269,8.848598,5.324727
6	18.4487,15.14001,11.28363,15.94396,5.975207,22.32777,15.76627,25.86306,17.37755,11.45027
7	3.731833,11.45723,7.783541,10.00553,10.37171,7.052395,7.156656,9.324107,15.89043,2.382166
8	15.3155,8.47908,11.85009,11.33549,7.2874,16.03934,15.80201,13.50107,17.93417,12.79243
9	-4.123063,-0.3670032,-1.101833,2.210579,-2.554608,2.790144,-1.272923,10.83644,5.583537,6.550871
10	6.821318,7.691776,17.16141,6.746518,8.963096,8.03596,8.400036,8.604433,12.47094,9.113348
11	4.927103,5.102217,5.499046,9.563332,5.632178,5.811829,2.591698,4.378649,6.300802,3.055528
12	11.53279,2.317751,8.495119,7.3586,6.739526,9.715516,0.4282029,15.88292,1.675138,7.682348
13	12.43583,2.086978,-4.431503,-6.203028,4.250936,1.907201,0.4096581,-2.646811,-5.437302,-3.375961
14	8.077866,24.34645,17.1255,13.80676,20.29242,19.43211,11.90378,26.03051,13.72486,7.877527
15	17.53989,6.529012,8.284994,5.614235,4.329996,5.82637,9.938198,16.37623,11.13696,12.03954
16	3.099624,-5.33625,4.605114,1.206227,9.322937,-1.83041,-0.1510588,-2.630547,1.11448,4.010059
17	-4.040414,-3.239922,9.205789,-3.079237,4.059874,0.09461974,4.047009,10.44437,9.932942,0.345461
18	5.335331,4.706637,1.933002,4.550542,1.178121,4.103473,-0.00123372,-4.851039,6.939191,9.598725
19	9.211207,5.776454,-2.666092,6.010659,2.848498,4.295157,0.2171382,15.01571,4.34434,-2.027567
20	5.070866,-4.444603,6.797591,12.85254,9.701384,9.509106,12.8041,4.067707,15.48389,9.97328
21	16.1174,10.60646,20.81482,4.999175,12.27605,13.72165,14.16939,20.10232,15.68111,17.03584
22	9.477754,11.73114,-6.015481,8.863698,7.873622,3.873661,10.75506,4.053814,4.578347,10.28705
23	12.88908,9.054434,13.34484,10.30085,13.70534,16.9719,10.74071,28.24583,15.78006,20.65104
24	-4.581226,6.599018,3.990651,-0.0376429,8.621293,-1.506158,-0.9030715,-3.005361,-1.340893,6.725925
25	8.049407,11.88185,11.22082,2.868713,18.89215,10.67224,13.82799,14.77568,9.747171,8.470923
26	24.85669,13.08184,23.27073,22.56106,15.41483,17.8361,9.877258,16.61503,20.21806,15.49539
27	5.820388,11.34581,3.580125,5.394949,-0.4707,8.471564,12.53951,13.48521,10.07351,-3.348944
28	8.232999,10.85245,5.67982,13.39615,8.364495,2.154589,8.162746,16.82217,8.328593,13.66375
29	13.23839,12.35152,18.69795,9.682713,16.23105,13.5525,3.675553,7.955748,19.5801,14.04361
30	22.36941,18.38634,16.89981,14.03601,22.88946,17.98117,9.132115,14.22179,5.405451,14.02371
31	-1.177715,-0.1498942,1.153408,5.061091,5.391701,4.83976,-0.862713,-4.816456,0.05638878,3.389571
32	-3.838312,1.958455,2.644277,1.270622,1.180445,10.81776,5.812933,7.557155,-2.616035,2.821709
33	4.353197,16.72423,5.475223,10.94415,21.62002,18.07818,20.45834,16.53302,14.44921,10.37844
34	11.42436,19.32612,20.3722,24.47827,11.98501,13.04566,12.91889,13.12171,13.16685,13.52161
35	13.05916,18.26268,20.62386,11.13945,12.45957,17.6181,20.08877,13.74418,7.850033,23.54561
36	14.67466,6.202656,17.84861,23.06173,6.813597,11.10216,11.79412,11.59434,4.833572,17.50482
37	4.964924,1.009023,6.460042,1.871425,-1.238302,5.231797,-0.1691637,10.86306,1.908701,6.264075
38	3.16944,7.879489,11.18402,-1.713616,14.80848,6.977871,6.235614,2.221942,2.730531,10.28166
39	4.97819,12.67886,7.734815,20.82684,16.22873,12.97749,10.02442,11.3968,6.470469,13.14009
40	10.93378,6.905616,14.45172,17.20445,21.75497,8.406953,16.82192,16.1675,20.96978,14.86045
41	3.412898,4.189381,17.75277,18.23266,5.166484,0.7816628,-3.864675,8.573358,0.5471321,17.4233
42	21.05138,-3.54455,3.537833,-3.534472,3.738268,-2.366323,2.386516,0.5156568,-3.916211,2.056463
43	8.136444,13.75195,20.79712,9.428888,2.357497,10.32049,10.1638,15.23744,12.98132,16.15748
44	4.169971,11.95051,2.313362,7.453333,1.575752,7.040032,5.761349,-2.422603,5.278867,11.90107
45	9.038418,20.84614,15.39601,12.74113,23.21014,11.15204,16.5168,21.40869,18.01111,13.46489
46	8.567406,6.093037,12.59224,5.67084,2.49852,8.686631,-5.008912,7.959869,8.484805,4.875626
47	9.749152,-1.717572,-9.658561,6.061227,-0.5065533,-0.5544328,-4.07682,1.887207,5.506197,-0.9374101
48	4.762452,5.200491,2.871109,10.50217,1.029032,10.24625,10.02851,3.661995,10.2421,10.93385
49	0.188234,4.175395,3.117404,10.8384,17.92315,18.38944,12.44148,14.39337,9.275626,12.34486
50	8.533525,9.325794,16.96923,4.815057,-0.5716757,13.84139,5.919197,7.819465,14.52353,6.184569
51	8.641539,8.710957,5.316633,0.3163307,-1.483136,4.883072,16.0086,7.108519,6.821865,7.663118
52	19.3787,3.88157,4.506992,-2.961709,4.759959,4.76348,4.722448,-2.934691,14.92331,14.81793
53	18.57255,13.76765,13.40107,21.81322,8.860587,12.4439,11.34403,15.09876,7.13568,11.48333
54	10.13049,17.79609,2.836801,13.29758,18.56517,11.70481,14.81799,7.033568,19.23896,5.748056
55	6.304606,1.882542,15.14865,-1.149581,7.270686,-8.698868,6.012079,8.548328,0.5764,9.524165
56	5.783301,5.1471,1.142343,8.387648,3.305996,13.44078,10.3564,20.94876,4.211462,15.90844
57	8.864837,-1.166889,0.7240749,2.334441,7.054536,1.005396,11.38925,0.005128087,7.083185,6.715435
58	-1.280897,6.796972,9.780263,-3.203982,6.652862,1.62277,-7.835977,-1.779518,4.305746,2.725533
59	5.27526,0.4774558,-1.537841,11.85786,1.550007,1.929914,-3.617285,-4.720651,-5.615779,-0.1098411
60	22.84182,21.48378,13.81202,8.879249,13.36094,2.937749,13.43104,23.29939,15.65477,20.47944
61	18.7178,9.608064,5.122231,10.3533,2.407002,14.3189,12.50784,8.226093,7.557856,14.68147
62	4.121239,-0.2565674,6.625424,1.006896,7.974255,4.477724,-9.225763,-4.676857,8.413876,5.45398
63	7.168327,-2.058882,11.00863,10.85771,-5.273457,-2.228272,-4.252398,5.33644,-4.453848,-8.175018
64	19.08562,11.68006,14.94359,18.09839,8.593806,14.37869,15.87871,23.46387,18.21066,21.41117
65	8.301615,1.676177,14.64426,17.08413,9.686396,5.095488,15.43575,10.69664,8.06864,15.61793
66	-2.212381,3.957067,6.456886,-4.676294,3.990617,1.442066,5.37872,-1.94299,1.565068,8.91142
67	8.895527,4.853042,9.945372,3.875044,-2.980557,15.84561,4.565456,0.8695849,14.97641,9.940691
68	3.870093,10.98329,9.638304,-2.633153,7.766992,9.634068,9.341305,-6.121587,4.823213,15.89817
69	6.681656,17.45555,14.12972,19.80645,16.46913,15.405,15.91831,15.83128,8.652005,26.74747
70	-0.7215968,11.00056,7.057201,-0.8185828,3.027104,7.82731,13.18161,3.511325,-3.212533,-2.917712
71	30.27871,13.69325,12.72803,15.7878,19.66694,16.51414,5.219249,16.76768,17.25212,18.29775
72	0.3771185,-2.721494,-1.82945,-2.768896,0.009977751,0.4439147,5.980464,6.932142,-1.972658,0.4559101
73	9.719648,1.505633,11.15926,9.404547,18.86246,11.71711,6.884751,7.802389,7.473516,10.93018
